index,Condo Name,Address,GPR,simp_gpr
1,One CANBERRA,"One CANBERRA, Singapore",2.8,2.8
2,1 KIM KEAT CLOSE,"1 KIM KEAT CLOSE, Singapore",2.8,2.8
3,1 LOFT,"1 LOFT, Singapore",2.8,2.8
4,1 MOULMEIN RISE,"1 MOULMEIN RISE, Singapore",2.8,2.8
6,10 SHELFORD,"10 SHELFORD, Singapore",2.8,2.8
11,16 @ AMBER,"16 @ AMBER, Singapore",2.8,2.8
12,18 WOODSVILLE,"18 WOODSVILLE, Singapore",3,3
18,24 ONE RESIDENCES,"24 ONE RESIDENCES, Singapore",2.8,2.8
19,26 NEWTON,"26 NEWTON, Singapore",1.4,1.4
22,28 IMPERIAL RESIDENCES,"28 IMPERIAL RESIDENCES, Singapore",1.4,1.4
23,28 RC SUITES,"28 RC SUITES, Singapore",1.4,1.4
27,33 RESIDENCES,"33 RESIDENCES, Singapore",1.6,1.6
28,336 RIVER VALLEY,"336 RIVER VALLEY, Singapore",1.6,1.6
29,368 THOMSON,"368 THOMSON, Singapore",2.8,2.8
30,38 AMBER,"38 AMBER, Singapore",1.4,1.4
31,38 DRAYCOTT DRIVE,"38 DRAYCOTT DRIVE, Singapore",1.4,1.4
32,38 I SUITES,"38 I SUITES, Singapore",2.8,2.8
35,448 @ EAST COAST,"448 @ EAST COAST, Singapore",2.8,2.8
36,57 @ KOVAN,"57 @ KOVAN, Singapore",2.8,2.8
38,6 DERBYSHIRE,"6 DERBYSHIRE, Singapore",2.8,2.8
41,7 ON CHAPEL,"7 ON CHAPEL, Singapore",2.8,2.8
42,70@TRURO,"70@TRURO, Singapore",1.6,1.6
45,8 @ WOODLEIGH,"8 @ WOODLEIGH, Singapore",1.4,1.4
46,8 BASSEIN,"8 BASSEIN, Singapore",1.4,1.4
47,8 EDEN GROVE,"8 EDEN GROVE, Singapore",4.2,3
48,8 FARRER SUITES,"8 FARRER SUITES, Singapore",1.4,1.4
49,8 HULLET,"8 HULLET, Singapore",1.4,1.4
50,8 NAPIER,"8 NAPIER, Singapore",2.8,2.8
51,8 NASSIM HILL,"8 NASSIM HILL, Singapore",1.4,1.4
54,8 SAINT THOMAS,"8 SAINT THOMAS, Singapore",1.6,1.6
56,8M RESIDENCES,"8M RESIDENCES, Singapore",1.4,1.4
59,AALTO,"AALTO, Singapore",2.8,2.8
60,ADAM GREEN,"ADAM GREEN, Singapore",1.4,1.4
61,ADANA @ THOMSON,"ADANA @ THOMSON, Singapore",2.1,2.1
62,ADORA GREEN,"ADORA GREEN, Singapore",2.8,2.8
63,ADRIA,"ADRIA, Singapore",1.4,1.4
66,ALBA,"ALBA, Singapore",1.4,1.4
67,ALESSANDREA,"ALESSANDREA, Singapore",2.8,2.8
70,ALEXIS,"ALEXIS, Singapore",2.8,2.8
71,ALLSWORTH PARK,"ALLSWORTH PARK, Singapore",4.9,3
72,ALOCASSIA APARTMENTS,"ALOCASSIA APARTMENTS, Singapore",3,3
74,AMANINDA,"AMANINDA, Singapore",2.1,2.1
76,AMARYLLIS VILLE,"AMARYLLIS VILLE, Singapore",1.4,1.4
77,AMBER 45,"AMBER 45, Singapore",2.1,2.1
78,AMBER PARK,"AMBER PARK, Singapore",2.8,2.8
79,AMBER POINT,"AMBER POINT, Singapore",2.1,2.1
80,AMBER RESIDENCES,"AMBER RESIDENCES, Singapore",2.8,2.8
81,AMBER SKYE,"AMBER SKYE, Singapore",2.8,2.8
82,AMORE,"AMORE, Singapore",2.8,2.8
83,AMPAS APARTMENTS,"AMPAS APARTMENTS, Singapore",2.8,2.8
88,APLETON VIEW,"APLETON VIEW, Singapore",3,3
90,AQUARIUS BY THE PARK,"AQUARIUS BY THE PARK, Singapore",2.8,2.8
92,ARC AT TAMPINES,"ARC AT TAMPINES, Singapore",3,3
93,ARCHIPELAGO,"ARCHIPELAGO, Singapore",2.8,2.8
94,ARDMORE 3,"ARDMORE 3, Singapore",2.8,2.8
95,ARDMORE II,"ARDMORE II, Singapore",2.8,2.8
96,ARDMORE PARK,"ARDMORE PARK, Singapore",2.1,2.1
97,ARDMORE RESIDENCE,"ARDMORE RESIDENCE, Singapore",1.4,1.4
100,ARTRA,"ARTRA, Singapore",2.8,2.8
101,ASCENT @ 456,"ASCENT @ 456, Singapore",1.4,1.4
102,ASCENTIA SKY,"ASCENTIA SKY, Singapore",2.8,2.8
103,ASPEN HEIGHTS,"ASPEN HEIGHTS, Singapore",2.8,2.8
104,ASPEN LOFT,"ASPEN LOFT, Singapore",2.8,2.8
107,ASTOR GREEN,"ASTOR GREEN, Singapore",2.1,2.1
108,ASTORIA PARK,"ASTORIA PARK, Singapore",2.1,2.1
109,ASTRID MEADOWS,"ASTRID MEADOWS, Singapore",4.9,3
111,ATRIUM RESIDENCES,"ATRIUM RESIDENCES, Singapore",3,3
114,AUSTVILLE RESIDENCES,"AUSTVILLE RESIDENCES, Singapore",4.9,3
115,AVA TOWERS,"AVA TOWERS, Singapore",2.8,2.8
116,AVALON,"AVALON, Singapore",2.8,2.8
117,AVENUE PARK,"AVENUE PARK, Singapore",2.8,2.8
118,AVILA GARDENS,"AVILA GARDENS, Singapore",2.1,2.1
119,AVON PARK,"AVON PARK, Singapore",2.1,2.1
